Customer,Address,Phone,Personnummer,BankAccount
Kristina Brandt,"Industrigatan 1, 34708 Falun",0940-48 36 42,890522-1597,SE8902QPHE36884244476446
Joanna Torstensson-Svensson,"Bäckgränd 425, 11910 Karlskoga",08-900 23 32,761115-2401,SE8902RQLR53927445231063
Karin Persson,"Furutorget 513, 94184 Trelleborg",060-774 82 26,490201-7484,SE8902MMZN38846965231738
Julia Karlsson,"Grangatan 75, 60901 Sundsvall",08-288 12 87,020207-5792,SE8902WZEL99650586037049
Victoria Ek,"Skolstigen 67, 98473 Halmstad",0613-38 82 38,430330-6577,SE8902DRZG97085120488113
Victoria Ek,"Skolstigen 67, 98473 Halmstad",0613-38 82 38,430330-6577,SE8902QJSX02120298481356
Victoria Ek,"Skolstigen 67, 98473 Halmstad",0613-38 82 38,430330-6577,SE8902IMEB42197421849807
Maria Eriksson,"Villavägen 913, 50242 Motala",08-585 92 83,410918-5795,SE8902JXJJ56306612147768
Maria Eriksson,"Villavägen 913, 50242 Motala",08-585 92 83,410918-5795,SE8902AZMF62874749728667
Anna Wahlström Lundin,"Bäcktorget 44, 72114 Örnsköldsvik",0242-554 32,630412-3000,SE8902KNBO14478747094323
Anna Wahlström Lundin,"Bäcktorget 44, 72114 Örnsköldsvik",0242-554 32,630412-3000,SE8902PQTU50864263302777
Tindra Jonsson,"Nyvägen 75, 11633 Linköping",08-45 75 06,031129-0464,SE8902YUYG10929263320035
Tindra Jonsson,"Nyvägen 75, 11633 Linköping",08-45 75 06,031129-0464,SE8902LUTP25647153659821
Sandra Sjöberg,"Skolgatan 929, 43096 Malmö",057-240 86 25,560511-1326,SE8902ZDMU73833226690524
Sandra Sjöberg,"Skolgatan 929, 43096 Malmö",057-240 86 25,560511-1326,SE8902LFPB25372838213647
Alice Lundgren,"Ringvägen 76, 26134 Landskrona",08-287 19 26,980122-7878,SE8902CRWQ10550122839130
Birgitta Ståhl-Hultgren,"Fabriksvägen 6, 72388 Sundsvall",086-831 04 12,610329-4028,SE8902PVRO74801343887399
Margareta Lund,"Nygatan 6, 62937 Landskrona",08-93 24 07,540220-9521,SE8902KPIO16227949467449
Tova Gustafsson Bengtsson,"Nyvägen 622, 39305 Kristianstad",08-94 70 71,901208-9356,SE8902OZOM23207181936410
Tova Gustafsson Bengtsson,"Nyvägen 622, 39305 Kristianstad",08-94 70 71,901208-9356,SE8902NVPZ06971021222436
Tova Gustafsson Bengtsson,"Nyvägen 622, 39305 Kristianstad",08-94 70 71,901208-9356,SE8902KLVA35234334264887
Ann Nilsson,"Idrottsvägen 8, 63552 Sundsvall",0617-77 72 10,901104-3719,SE8902SNNM24012074185591
Agnes Åberg,"Åkerstigen 22, 50789 Skellefteå",08-402 255 92,841210-2173,SE8902DRXY50176432565193
Anna Dahlin Ågren,"Furugränd 88, 90312 Ängelholm",099-73 87 24,810113-7506,SE8902JPPD16064860435781
Ingrid Bäckström Persson,"Järnvägsstigen 49, 74337 Lidköping",08-80 66 76,521117-6978,SE8902FSHA42297476809642
Ingrid Bäckström Persson,"Järnvägsstigen 49, 74337 Lidköping",08-80 66 76,521117-6978,SE8902LWGY12400441776877
Maria Axelsson,"Nytorget 91, 88709 Lidköping",08-78 19 07,891101-6767,SE8902IJUF89235594362096
Maria Axelsson,"Nytorget 91, 88709 Lidköping",08-78 19 07,891101-6767,SE8902DPTT93032573974424
Birgitta Nilsson,"Idrottsvägen 51, 52369 Borås",0106-820 13,640113-3456,SE8902NZPO70353430427963
Birgitta Nilsson,"Idrottsvägen 51, 52369 Borås",0106-820 13,640113-3456,SE8902IMDH11855815032434
Birgitta Nilsson,"Idrottsvägen 51, 52369 Borås",0106-820 13,640113-3456,SE8902UITH42469834496346
Louise Wall,"Parkgatan 961, 17045 Karlstad",052-757 52 90,990215-7727,SE8902QPGW46075376024266
Maria Frank,"Åkergränd 4, 90224 Kristianstad",043-46 29 04,430815-3222,SE8902PCFD04141042982858
Sara Svensson,"Bäckvägen 7, 36384 Linköping",0531-396 71,860309-0559,SE8902POYE56306553396402
Cristina Persson,"Grantorget 4, 47164 Skövde",081-92 63 75,620626-8408,SE8902BUFN52320844378385
Margareta Olsson,"Storgränd 355, 35602 Lund",0270-57 49 29,671203-2561,SE8902VDAM04395711962652
Linnéa Ottosson,"Granstigen 1, 94751 Borås",066-158 11 23,951215-6036,SE8902DSLW17149818922650
Linnéa Ottosson,"Granstigen 1, 94751 Borås",066-158 11 23,951215-6036,SE8902MQKC26955141529313
Linnéa Ottosson,"Granstigen 1, 94751 Borås",066-158 11 23,951215-6036,SE8902XNEE54146257506129
Ylva Nilsson,"Stationstorget 1, 10349 Trollhättan",08-26 85 10,930323-2665,SE8902BXJC93392072105707
Tindra Karlsson Åkesson,"Parkstigen 76, 10347 Skövde",08-095 88 67,450531-4726,SE8902MZQD36471607948390
Tindra Karlsson Åkesson,"Parkstigen 76, 10347 Skövde",08-095 88 67,450531-4726,SE8902ZXBS27847759587560
Tindra Karlsson Åkesson,"Parkstigen 76, 10347 Skövde",08-095 88 67,450531-4726,SE8902CGGR69488718084568
Tindra Karlsson Åkesson,"Parkstigen 76, 10347 Skövde",08-095 88 67,450531-4726,SE8902LJOL22570334014589
Tina Larsson,"Genstigen 97, 72115 Lidingö",08-45 06 42,050608-5364,SE8902EPQO36893099676290
Ann-Marie Sandberg,"Fabriksstigen 316, 76177 Karlstad",08-412 63 54,750324-2856,SE8902JWPZ44810854846338
Caroline Nordström Andreasson,"Ringstigen 6, 20479 Trelleborg",08-52 80 73,540522-6134,SE8902KEUK66106098793775
Caroline Nordström Andreasson,"Ringstigen 6, 20479 Trelleborg",08-52 80 73,540522-6134,SE8902WQDY35666811304216
Caroline Nordström Andreasson,"Ringstigen 6, 20479 Trelleborg",08-52 80 73,540522-6134,SE8902IFAT25470340151750
Caroline Karlsson-Hellberg,"Nygatan 91, 83897 Landskrona",0458-20 73 86,460425-7487,SE8902CKLN78195298715336
Alexandra Olsson,"Bäckvägen 3, 43869 Helsingborg",08-976 475 21,950407-8487,SE8902OBIX76276487885565
Anita Johansson,"Industristigen 03, 40614 Göteborg",0998-74 24 80,960825-5072,SE8902EQDP30307774877765
Anita Johansson,"Industristigen 03, 40614 Göteborg",0998-74 24 80,960825-5072,SE8902YOEW30639718787528
Anita Johansson,"Industristigen 03, 40614 Göteborg",0998-74 24 80,960825-5072,SE8902CKBV64663475183727
Charlotte Engström,"Bäckgatan 8, 85966 Halmstad",08-338 060 59,910827-2437,SE8902WRAH16184147348462
Charlotte Engström,"Bäckgatan 8, 85966 Halmstad",08-338 060 59,910827-2437,SE8902BADP38378986803145
Gunvor Magnusson Öberg,"Backgatan 8, 81672 Karlskoga",08-149 618 54,841022-4763,SE8902MEJF62740560811988
Ulla Melin,"Aspvägen 0, 37416 Trollhättan",0452-508 15,760413-8730,SE8902KQTT53706765844553
Ulla Melin,"Aspvägen 0, 37416 Trollhättan",0452-508 15,760413-8730,SE8902IGKY05275707479128
Ulrika Larsson,"Skolvägen 98, 40809 Borlänge",0141-431 54,681010-5228,SE8902ZJLO95363862694613
Ulrika Larsson,"Skolvägen 98, 40809 Borlänge",0141-431 54,681010-5228,SE8902VJEF22408425695352
Marie Lund,"Storgatan 42, 91882 Landskrona",08-877 130 48,711020-3960,SE8902QRLT89568280421783
Marie Lund,"Storgatan 42, 91882 Landskrona",08-877 130 48,711020-3960,SE8902QLUT99208994499946
Zahra Svensson-Johansson,"Grangränd 061, 36553 Nyköping",0026-601 74,400328-6996,SE8902UYWH41914146129072
Harriet Berg,"Fabriksgränd 0, 95963 Uppsala",08-731 36 88,640413-8023,SE8902UUHR56831431647978
Harriet Berg,"Fabriksgränd 0, 95963 Uppsala",08-731 36 88,640413-8023,SE8902EQYQ41081582080415
Madelene Lindgren-Carlberg,"Storvägen 702, 43717 Mölndal",0423-63 67 02,530404-5650,SE8902OQZB62959452894569
Charlotta Andersson,"Parkstigen 109, 21904 Mölndal",08-364 444 03,880504-5534,SE8902NSZV23305609626569
Charlotta Andersson,"Parkstigen 109, 21904 Mölndal",08-364 444 03,880504-5534,SE8902LDPN73303918695424
Edith Isaksson,"Grantorget 74, 25203 Örebro",064-619 77 99,770314-1197,SE8902XCHA19919213751955
Edith Isaksson,"Grantorget 74, 25203 Örebro",064-619 77 99,770314-1197,SE8902KXMK45343849770312
Edith Isaksson,"Grantorget 74, 25203 Örebro",064-619 77 99,770314-1197,SE8902MDRR93436036363613
Ann-Sofie Berggren,"Stationsgränd 6, 29200 Linköping",08-993 676 74,990826-3057,SE8902SSZA54290319483676
Viola Thor Gustafsson,"Ängstorget 480, 62416 Östersund",08-171 70 84,000722-4124,SE8902OEJT81666216962345
Viola Thor Gustafsson,"Ängstorget 480, 62416 Östersund",08-171 70 84,000722-4124,SE8902ZVTV98812993474647
Viola Thor Gustafsson,"Ängstorget 480, 62416 Östersund",08-171 70 84,000722-4124,SE8902NBPA53790596412090
Alice Axelsson,"Genvägen 5, 63184 Eskilstuna",0970-64 19 50,561012-3878,SE8902VROD28357188719403
Katarina Bengtsson,"Parkgatan 58, 46109 Karlstad",08-308 85 97,460405-5261,SE8902RLHG01713064216795
Katarina Bengtsson,"Parkgatan 58, 46109 Karlstad",08-308 85 97,460405-5261,SE8902RMGJ56941789044857
Katarina Bengtsson,"Parkgatan 58, 46109 Karlstad",08-308 85 97,460405-5261,SE8902ZKUQ38316655030762
Erika Dahlberg-Nilsson,"Skolgatan 05, 70159 Örebro",08-56 04 89,510326-2258,SE8902IAZC69283036911026
Erika Dahlberg-Nilsson,"Skolgatan 05, 70159 Örebro",08-56 04 89,510326-2258,SE8902FEOU83301563734443
Olivia Malmström,"Skoltorget 549, 30393 Trelleborg",058-22 71 95,651011-9842,SE8902YQXU56366715188424
Olivia Malmström,"Skoltorget 549, 30393 Trelleborg",058-22 71 95,651011-9842,SE8902EEKT76326536417923
Olivia Malmström,"Skoltorget 549, 30393 Trelleborg",058-22 71 95,651011-9842,SE8902KZIO19030755409685
Eva Hansson,"Kyrkogatan 5, 78023 Göteborg",0596-839 38,700610-4371,SE8902KLES25420753966546
Eva Hansson,"Kyrkogatan 5, 78023 Göteborg",0596-839 38,700610-4371,SE8902HRWG83554443123395
Linnea Mattsson,"Furuvägen 8, 29484 Lund",0507-15 04 64,751014-2008,SE8902YSVI54424221824629
Barbro Granlund,"Stationsgatan 24, 16309 Varberg",08-17 28 74,980717-2268,SE8902MCFO49095808464569
Johanna Svensson,"Bäcktorget 7, 33841 Piteå",019-85 85 51,621205-8827,SE8902EJVD58777899114942
Johanna Svensson,"Bäcktorget 7, 33841 Piteå",019-85 85 51,621205-8827,SE8902CODF26383416794081
Johanna Svensson,"Bäcktorget 7, 33841 Piteå",019-85 85 51,621205-8827,SE8902VRCK66669606024532
Sigrid Holmgren,"Skolgränd 20, 46476 Ängelholm",091-298 26 01,991126-8184,SE8902MCEV93618355713025
Sigrid Holmgren,"Skolgränd 20, 46476 Ängelholm",091-298 26 01,991126-8184,SE8902BTSC01483794930785
Astrid Eriksson-Svensson,"Backgatan 7, 83837 Falun",0713-730 95,500128-9916,SE8902VXXB63484309612552
Astrid Eriksson-Svensson,"Backgatan 7, 83837 Falun",0713-730 95,500128-9916,SE8902UFZY41218181108055
Astrid Eriksson-Svensson,"Backgatan 7, 83837 Falun",0713-730 95,500128-9916,SE8902IDIO78110702344946
Astrid Eriksson-Svensson,"Backgatan 7, 83837 Falun",0713-730 95,500128-9916,SE8902WMGQ92121042977797
Malin Gustafsson,"Villavägen 242, 18096 Lidingö",08-20 44 28,501213-8391,SE8902FVFT61557043346714
Malin Gustafsson,"Villavägen 242, 18096 Lidingö",08-20 44 28,501213-8391,SE8902RNLY55461931214075
Elna Engberg,"Granstigen 1, 57983 Karlskoga",015-308 78 92,420602-4558,SE8902CFVM08634732646774
Elna Engberg,"Granstigen 1, 57983 Karlskoga",015-308 78 92,420602-4558,SE8902EJYN15169896233918
Elna Engberg,"Granstigen 1, 57983 Karlskoga",015-308 78 92,420602-4558,SE8902SICI51731283266081
Anita Andersson,"Nyvägen 46, 92586 Landskrona",0863-236 10,701113-4041,SE8902REPT13055923984909
Anita Andersson,"Nyvägen 46, 92586 Landskrona",0863-236 10,701113-4041,SE8902CFEY43701881421531
Ann-Charlotte Johnsson,"Nyvägen 51, 36077 Halmstad",08-012 24 20,020907-9359,SE8902KLRO16474013075873
Ingrid Widén-Eriksson,"Furugränd 194, 39438 Luleå",078-576 54 65,930801-0736,SE8902AZOB63571733972059
Jeanette Andersson,"Kvarnvägen 39, 21984 Varberg",049-95 49 99,680818-7006,SE8902REOE84824920257605
Jeanette Andersson,"Kvarnvägen 39, 21984 Varberg",049-95 49 99,680818-7006,SE8902GUBN02340962282734
Sonja Sandberg,"Järnvägsvägen 33, 96497 Piteå",08-770 745 63,840407-4828,SE8902UZPG07009538779616
Sonja Sandberg,"Järnvägsvägen 33, 96497 Piteå",08-770 745 63,840407-4828,SE8902GWBV65006975861231
Angelica Jensen,"Storgränd 8, 23240 Borås",08-385 759 77,590323-8250,SE8902RFKG13034824351836
Moa Karlsson Berglund,"Backgatan 483, 15924 Stockholm",08-544 561 73,390508-4368,SE8902XNTB41827621868449
Moa Karlsson Berglund,"Backgatan 483, 15924 Stockholm",08-544 561 73,390508-4368,SE8902HHSO58247661775142
Marie Pettersson-Pettersson,"Villastigen 5, 82510 Trelleborg",091-739 52 93,590618-9138,SE8902JYDD80497877012989
Lina Fredriksson,"Villagatan 74, 84144 Jönköping",08-379 731 39,490730-0612,SE8902EBQG46394645816502
Inga Jönsson,"Björkstigen 8, 68132 Piteå",08-838 114 97,961003-4705,SE8902FEUM16554377486070
Ahmed Gustafsson,"Stationsgatan 18, 33938 Skellefteå",022-437 72 07,990316-2809,SE8902VBBU70773188294633
Kajsa Olsson,"Ängsgränd 9, 83593 Piteå",08-299 96 24,040530-8834,SE8902RCMN64982980569854
Katarina Ali,"Trädgårdsstigen 8, 75689 Borås",0267-664 02,521030-3250,SE8902EJAI99151957237924
Lovisa Eriksson-Lindfors,"Skogsvägen 054, 62496 Skellefteå",08-689 577 69,030803-2572,SE8902XYRM52103884724966
Leia Pettersson,"Stationsgatan 79, 61611 Borlänge",060-97 37 11,740122-1705,SE8902OUYV90192199566077
Leia Pettersson,"Stationsgatan 79, 61611 Borlänge",060-97 37 11,740122-1705,SE8902SPLV55493875690484
Leia Pettersson,"Stationsgatan 79, 61611 Borlänge",060-97 37 11,740122-1705,SE8902LOKN91099936771965
Caroline Sjölander,"Industritorget 68, 59779 Skellefteå",0080-904 34,941120-4879,SE8902QIDW01871973556269
Irma Johansson,"Villagatan 15, 74856 Östersund",08-076 117 04,011120-7973,SE8902WDJE85359881297343
Inger Malmqvist,"Åkervägen 70, 22349 Malmö",08-55 31 39,621117-4120,SE8902JLFC48207582147190
Inger Malmqvist,"Åkervägen 70, 22349 Malmö",08-55 31 39,621117-4120,SE8902DGOU52251724210139
Ellinor Ahmad,"Villavägen 0, 30444 Linköping",043-88 12 54,600828-3746,SE8902KCJU30225323097413
Linn Hansson,"Skolvägen 19, 96151 Uddevalla",0664-695 56,570120-3019,SE8902UDAI89693707440786
Linn Hansson,"Skolvägen 19, 96151 Uddevalla",0664-695 56,570120-3019,SE8902LXEY88372509516456
Linn Hansson,"Skolvägen 19, 96151 Uddevalla",0664-695 56,570120-3019,SE8902XVJQ62588665096343
Linn Hansson,"Skolvägen 19, 96151 Uddevalla",0664-695 56,570120-3019,SE8902PEJL40222448009128
Doris Carlsson,"Genvägen 3, 64307 Lidköping",08-87 48 98,451223-3471,SE8902LACW59549122762926
Doris Carlsson,"Genvägen 3, 64307 Lidköping",08-87 48 98,451223-3471,SE8902OGIR23428207822800
Jennie Arvidsson,"Industrigatan 0, 94230 Uppsala",08-512 994 46,631111-4174,SE8902QXXL08650991961519
Jennie Arvidsson,"Industrigatan 0, 94230 Uppsala",08-512 994 46,631111-4174,SE8902GQAD77323256759071
Lina Blomkvist Helgesson,"Gengatan 77, 33143 Karlstad",08-655 659 47,741011-0774,SE8902KMRD06713970744337
Susanne Sjögren,"Kyrkstigen 110, 45010 Uppsala",067-73 91 68,631020-2814,SE8902APMC92937900903172
Therese Johansson,"Granstigen 7, 60793 Malmö",068-24 32 44,821220-2496,SE8902LNZG09887297010450
Sigrid Samuelsson,"Villavägen 91, 64912 Skellefteå",08-059 34 92,390220-2948,SE8902MJJU05220306140238
Betty Persson,"Industrigatan 5, 20812 Halmstad",0593-957 96,021116-3951,SE8902IRET80983872349375
Joanna Andersson Johnson,"Granvägen 607, 49675 Lidingö",0667-12 49 39,510203-9111,SE8902RFND18240718616184
Gertrud Wahlberg,"Furugatan 90, 67459 Helsingborg",08-24 02 83,931224-0071,SE8902XNSP62301861969649
Gertrud Wahlberg,"Furugatan 90, 67459 Helsingborg",08-24 02 83,931224-0071,SE8902NOMU53996442028881
Ulrika Blixt,"Ekgatan 32, 29235 Lidköping",0229-016 16,750512-8194,SE8902BLNY30650799297988
Ulrika Blixt,"Ekgatan 32, 29235 Lidköping",0229-016 16,750512-8194,SE8902RCMP67198715313709
Sonia Jakobsson,"Industritorget 02, 18923 Luleå",0467-32 92 96,351214-1205,SE8902BCJH45677202414984
Sonia Jakobsson,"Industritorget 02, 18923 Luleå",0467-32 92 96,351214-1205,SE8902JOAA73203338391811
Ingegerd Ottosson,"Kvarnstigen 03, 21996 Falun",0308-344 95,531114-5873,SE8902PTQI05277402468840
Christina Jansson Boman,"Nytorget 92, 27093 Eskilstuna",0852-52 70 40,760604-4704,SE8902VCGO21843909614852
Angelina Eriksson Larsson,"Kyrkvägen 966, 81708 Trollhättan",065-883 42 36,650728-3643,SE8902DDDT67161166312580
Angelina Eriksson Larsson,"Kyrkvägen 966, 81708 Trollhättan",065-883 42 36,650728-3643,SE8902ASEU46374988626527
Olivia Persson,"Storstigen 58, 40650 Borås",0181-221 53,791120-5644,SE8902OUGZ49389646387563
Nathalie Andersson,"Bäckgränd 45, 81928 Gävle",08-444 474 89,670901-4283,SE8902XMSF03346539893576
Katarina Andersson,"Skolgränd 0, 64691 Södertälje",08-945 741 89,970816-9066,SE8902ATDH36917846037146
Katarina Andersson,"Skolgränd 0, 64691 Södertälje",08-945 741 89,970816-9066,SE8902ECCJ86383227351359
Katarina Andersson,"Skolgränd 0, 64691 Södertälje",08-945 741 89,970816-9066,SE8902GVHN92964423897611
Inger Malmgren Ali,"Backvägen 08, 14858 Västerås",023-724 86 20,530822-3378,SE8902PBJH90393502972632
Lillemor Lindfors Nyman,"Björkvägen 1, 19711 Varberg",0441-052 61,940413-2103,SE8902TURO07496760761316
Kristin Nilsson,"Järnvägstorget 8, 75638 Karlstad",0794-340 79,490116-1465,SE8902FQVQ38132937638029
Anette Eriksson,"Furuvägen 58, 40118 Malmö",031-916 32 86,421117-8456,SE8902HAYZ30931717835549
Katarina Pedersen,"Industristigen 524, 87918 Alingsås",093-477 43 08,050405-2614,SE8902TCZM12187781824588
Katarina Pedersen,"Industristigen 524, 87918 Alingsås",093-477 43 08,050405-2614,SE8902JUBX10521679094085
Selma Lilja,"Ekgatan 8, 48275 Falun",08-569 84 29,390526-2642,SE8902IASU37111569398010
Selma Lilja,"Ekgatan 8, 48275 Falun",08-569 84 29,390526-2642,SE8902FGIY23117081354016
Selma Lilja,"Ekgatan 8, 48275 Falun",08-569 84 29,390526-2642,SE8902KLNQ25617997709976
Agneta Ahmed,"Skoltorget 540, 31601 Alingsås",0995-70 41 98,671006-6009,SE8902GYOU97729788286246
Katarina Nilsson,"Nyvägen 07, 78590 Norrköping",0467-87 80 41,060925-9098,SE8902IXLN09147641003463
Katarina Nilsson,"Nyvägen 07, 78590 Norrköping",0467-87 80 41,060925-9098,SE8902WQME16820619653293
Katarina Nilsson,"Nyvägen 07, 78590 Norrköping",0467-87 80 41,060925-9098,SE8902KSGB25510595835295
Angelina Lindholm,"Ängsstigen 21, 35411 Västerås",0625-87 26 92,860106-4812,SE8902ZKCR38556369708361
Kerstin Lundqvist,"Åkergatan 0, 47104 Halmstad",073-31 47 00,980111-2799,SE8902RBSV68895772780848
Lilly Dahl,"Gentorget 72, 53184 Göteborg",08-838 11 67,890624-2840,SE8902TDWF15245617438533
Lilly Dahl,"Gentorget 72, 53184 Göteborg",08-838 11 67,890624-2840,SE8902OSPT65036097285857
Lilly Dahl,"Gentorget 72, 53184 Göteborg",08-838 11 67,890624-2840,SE8902ANWR22887008474492
Maryam Karlsson,"Industrigränd 09, 76811 Jönköping",037-11 80 03,380917-9272,SE8902XJAN35723200835220
Maryam Karlsson,"Industrigränd 09, 76811 Jönköping",037-11 80 03,380917-9272,SE8902FCJT75375914520219
Anna Jonasson,"Nytorget 1, 48773 Piteå",08-10 30 17,710111-6791,SE8902EUHG64782205847802
